D3_inulin	D3_control	D2_xos	D2_inulin	D2_control	PCR_blank	D8_xos	D8_inulin	D8_control	D7_xos	D1_xos	D7_inulin	D7_control	D6_xos	D6_inulin	D6_control	D5_xos	D5_inulin	D5_control	D4_xos	D4_inulin	D1_inulin	D1_control	D4_control	D3_xos
EC:1.1.1.302	1093	1162	928	1009	2278	552	984	1005	3437	687	436	571	3519	1123	1040	1674	692	613	1656	986	19091	980	636	2077	1107
EC:1.1.1.303	4006.6	2293.8	5139.2	399.8	5687.8	1927.2	1259.2	1190.2	795.4	724.2	7170.6	765.8	8935.4	3618.8	1704.2	642.4	4089.6	3717.6	3182	1303.8	516.4	910.2	4558.4	2536	1991.2
EC:1.1.1.304	6531.23	6384.91	10415.68	2698.6	9843.81	5330.6	4008.89	6512.51	1294.52	1009.2	12820.63	1660	15165.8	7928.48	4246.97	1192.02	5457.15	5845.46	5174.82	3038.13	19599.53	5758.07	4746.58	7161.49	5045.1
EC:1.1.1.305	11072.17	15484.46	1911.95	2741.67	5008.08	4552	6681.09	13251.58	2688.34	10103.33	2692.33	6533	12629.5	15290.55	21104.05	16999.25	11715.75	10935.79	16983.29	27633.33	14929.33	5556	3018.58	8451.55	7352.5
EC:1.1.1.306	0	0	0	0	0	0	15	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC:1.1.1.308	185	127.62	96.62	136	1080.75	52	325.25	991.75	152	170	125.5	69	3067	487.38	416.38	313.25	448.75	594.12	939.12	110.5	157	148	84.25	334.38	194
EC:1.1.1.31	13027.05	10647.8	16160.24	23322.44	20940.5	4966.99	14430.97	24241.58	32243.48	12757.94	8013.96	13860.29	35144.94	23796.18	29555.78	21114.08	20024.68	11166	29011.38	10902.34	27276.78	17696.2	26035.03	17416.07	9846.33
EC:1.1.1.310	690	451	487	541	2216	319	264	352	614	374	362	225	3568	1635	1921	2558	658	647	1781	417	394	279	197	717	653
EC:1.1.1.313	35.5	65.5	15.33	0	38.33	0	74.5	226.83	0	0	28.5	0	46.5	106.17	95	20.67	152.67	185.67	294.17	48.5	0	14.67	0	87.17	0
EC:1.1.1.320	58	63	95	392	513	43	519	291	101	770	2072	346	1382	100	379	58	123	119	151	108	433	10969	14720	102	418
EC:1.1.1.333	0	0	0	0	0	0	15	27	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
EC:1.1.1.335	274	183	983.33	791.33	1711.67	80	599.33	464.5	213.33	836	1593	467	1450	225.67	574	310	287.67	267.33	520.33	316.33	543	10888	10699	165.33	562
EC:1.1.1.336	16912.43	20143.81	8505.55	7748.15	21802	6506.13	13321.33	21025.3	7135.37	22433.13	25485.83	13542.7	27387.1	20817.37	33048.71	20796.71	21454.37	19990.43	24907.2	31942.22	20844.13	57312.4	44231.99	12076.96	12460.98
EC:1.1.1.337	22	3	209	69	524.5	4	6	17	23	12	21	0	76	5	4	0	16	6	19	7	4	0	0	3	0
EC:1.1.1.338	176	128	125	129	347	89	63	82	144	68	84	52	156	446	552	762	192	181	477	110	79	59	43	133	153
EC:1.1.1.339	154.5	104.5	11.25	21.75	58.75	11.75	0	27.5	66.25	195.25	12.25	72.5	131.25	50	21.75	27	0	15.75	13	40	68	0	0	108.75	53.5
EC:1.1.1.34	22	3	209	69	488	4	6	9	23	12	21	0	0	5	4	0	5	0	4	7	4	0	0	3	0
EC:1.1.1.342	183	120	884	433	1138	37	221	91	90	247	131	169	79	105	212	247	156	145	360	222	150	117	109	56	192
EC:1.1.1.343	36497.36	40224.63	45033.59	38864.49	45451.14	14798.79	51723.04	57711.85	15276.81	48852.33	75297.95	38745.88	68267.77	63908.27	92822.67	52634.96	46615.51	46564.62	65412.37	63010	91009.26	50732.83	47904.77	42179.73	29360.3
EC:1.1.1.346	26091.34	34220.25	5431.23	7137.01	13101.99	9761.34	16719.85	29435.37	8495.68	24014.99	7434.66	15533.33	28080.83	32017.1	43810.43	35910.17	25887.83	23465.25	35844.58	56862.99	32060.99	22548.33	17279.58	18483.6	19205.33
EC:1.1.1.35	22401.48	31163.49	4084.47	5675.34	11024.02	9242.29	13783.89	27131.65	5863.25	20660.95	7661.95	13245	25448.29	30789.96	42502.96	34124.21	23635.93	22017.29	34520.15	55716.8	30361.09	11907.29	10549.7	17235.96	14959.23
EC:1.1.1.350	93	57	85	129	273	196.67	17	186	121.67	334.33	0	48	1934	88	145	515	85	18	593	52	298	168	85.8	247	160
EC:1.1.1.36	29	0	0	49	59	0	202	0	0	181	610	62	11	0	20	0	39	0	336	15	54	198	4130	0	48
EC:1.1.1.363	31603.79	36253.46	33440.04	26408.36	38616.67	12245.01	40269.23	48939.35	12062.76	39492.25	69663.8	32801.6	53578.38	47237.79	67130.32	40347.93	34303.21	34339.78	45568.4	49568.07	49256.56	45865.13	44539.59	29504.29	24915.17
EC:1.1.1.367	7849.76	9491.52	5490.29	4712.27	9746.63	2780.48	6570.98	9178.91	15709.47	11305.25	10636.75	6869.2	18847.45	6420.31	6946.64	7780.03	7760.28	7200.23	9725.85	4309.03	7821.8	21535.6	25877.98	8550	8343.18
EC:1.1.1.369	6031.64	5799.08	11258.32	9638.53	16561.89	2885.29	9443.63	10080.36	5382.13	9946.86	12747.06	13557.54	17063.55	5140.51	8647.35	5571.88	8769.9	7656.57	12479.12	10959.96	7571.43	6242.23	11757.65	6549.09	5085.92
EC:1.1.1.37	29240.63	32367.29	28798.49	19754.65	51668.12	10563.78	32089.47	51470.42	11588.16	45269.54	39639.61	45588.77	69130.5	41231.72	57051.76	37623.05	33905.68	31081.91	42662.58	38567.95	36733.59	79748.33	71924.11	21226	26348.51
